x,y,f_xy,pmi
弘,扬,44,12.25057815778947
呼,吁,113,12.246462049317238
赌,博,6,12.240309822335643
挖,砂,7,12.238848865207363
掌,握,108,12.235731695994877
偷,渡,24,12.230114055229754
绚,丽,14,12.211368128785256
拆,迁,16,12.197963531626048
恐,慌,10,12.197963531626048
智,慧,49,12.193024315492867
轰,轰,8,12.192014265294862
纸,屑,6,12.183463961930933
宿,舍,22,12.173956876186557
浓,郁,20,12.170407809105486
穿,梭,9,12.166513893000996
榭,丽,5,12.166513893000996
邪,恶,5,12.16573636938159
恰,恰,7,12.164293507736412
妈,妈,75,12.163199375169576
追,溯,8,12.14960051006465
残,酷,6,12.14720041794416
途,径,77,12.140935387414448
蝶,泳,8,12.132883115119716
疲,软,7,12.124900069436325
挫,折,9,12.12310209432713
潜,艇,12,12.12310209432713
艾,琳,11,12.116826768900642
爆,炸,16,12.115887819931027
勃,勃,35,12.11511029631162
抢,劫,15,12.113074634039535
缺,乏,106,12.110955101276977
瓦,甫,14,12.096574344874194
缅,怀,8,12.094458955872188
犹,豫,9,12.088306728890593
绵,绵,8,12.087079425506591
埃,镑,13,12.083403767363192
冶,炼,7,12.073994853312472
畜,牧,16,12.062448560969568
禽,蛋,13,12.061544333399453
迟,浩,51,12.050104400885685
伪,劣,30,12.04679529665808
牙,齿,5,12.041436759950878
Ｂ,Ｐ,17,12.036662393231147
呆,账,17,12.028116461043492
弥,漫,15,12.025597097727383
碱,渠,6,12.02406962798079
披,露,21,12.023985747923737
倘,若,7,12.017291095349728
污,染,105,12.014288607188204
滚,滚,9,12.010239595938339
戒,毒,18,12.002891716289112
慰,藉,7,11.997391537912023
穆,罕,9,11.987543751955677
挑,剔,7,11.98558223562239
纵,横,18,11.9799305678458
钻,井,39,11.974392384304371
错,误,81,11.973448804271944
宗,旨,56,11.97326133892815
缜,密,5,11.970470238596734
⑵,附,6,11.967079649395961
左,右,156,11.963090708231137
珍,惜,22,11.9575670027295
抨,击,5,11.956955432122253
丑,恶,10,11.95628300375264
抛,弃,13,11.951017875930562
Ｏ,Ｆ,7,11.94023803717732
牢,牢,15,11.928979859461068
欣,赏,35,11.925027267835567
俞,斌,9,11.920429556097139
麻,醉,5,11.919773934617604
沉,甸,9,11.91497512600503
灵,魂,20,11.911277857727608
宽,敞,13,11.907373403271693
Ｏ,Ｋ,5,11.899596052679973
昼,夜,18,11.89873448499782
